iter	Passed	Remaining
936	4573	307
937	4576	302
938	4580	297
939	4585	292
940	4588	287
941	4592	282
942	4597	277
943	4602	273
944	4606	268
945	4610	263
946	4615	258
947	4619	253
948	4623	248
949	4627	243
950	4631	238
951	4634	233
952	4640	228
953	4645	224
954	4652	219
955	4656	214
956	4660	209
957	4663	204
958	4668	199
959	4673	194
960	4676	189
961	4680	184
962	4685	180
963	4690	175
964	4693	170
965	4699	165
966	4703	160
967	4707	155
968	4710	150
969	4715	145
970	4719	140
971	4722	136
972	4727	131
973	4732	126
974	4737	121
975	4740	116
976	4745	111
977	4758	107
978	4763	102
979	4768	97
980	4772	92
981	4776	87
982	4780	82
983	4784	77
984	4787	72
985	4791	68
986	4795	63
987	4799	58
988	4803	53
989	4808	48
990	4811	43
991	4815	38
992	4819	33
993	4823	29
994	4827	24
995	4831	19
996	4834	14
997	4839	9
998	4843	4
999	4846	0
